SampleID,Farm,Treatment,Site,Site_ID,Management intensity,Flood Risk,Lat,Long,Mean 10yr Precip (mm),SD_10yr Precip,SE_10yr Precip,Range 10yr Precip,Mean Bulk Density,SD_BD,SE_BD,Mean Soil Moisture (Gravimetric %),SD_Soil Moist,SE_Soil Moist,Grass Yield,Mean Photosynth rate,SD_Photosynth,SE_Photosynth,Mean Soil Respiration (?mol/m^2/s),SD_Soil Resp,SE_Soil Resp,Probe moist mean trend (Volumetric %),SD_Probe Moist,SE_Probe Moist,Probe moist final measurement (Gravimetric %),Soil DNA TOT (ng/ÂµL in 100ÂµL elution volume),Plant species total,Dominant plant species,pH,Microbial biomass (mg PLFA/kg),Total bacteria (mg PLFA/kg),Gram positive bacteria (mg PLFA/kg),Actinomycetes (mg PLFA/kg) ,Gram negative bacteria (mg PLFA/kg),Total fungi (mg PLFA/kg),Arbuscular Mycorrhiza (mg PLFA/kg),Other fungi (mg PLFA/kg),Protozoa (mg PLFA/kg),Shannon Wiener Index ,Fungal/ bacterial ratio,Gram(+)/  Gram(-) ratio ,C-organic (%),Organic matter (%) ,SOC/SOM ratio,Clay (<2 ?m) (%)
2-1B,Lyons,Drought,1,Lyons_site1_drought,Semi-Improved,Low,53.294974,-6.53803,811.57,111.49,35.26,360.6,0.5,0,0,17.22,2.44,1.73,24.13,22.49,3.06,1.08,4.55,0.11,0.06,10,0.11,0,3,422.8,16,Meadow foxtail,4.9,100,100,28,7,70,6,4.2,1.7,0.36,0.99,0.5,0.4,6.1,11.4,0.54,17
20-3D,Laois,Drought,12,Laois_site12_drought,Semi-natural,Low,52.94324,-7.41193,896.21,106.99,33.83,330.4,0.6,0.03,0.02,17.58,0.88,0.62,35.28,NA,NA,NA,9.9,0.53,0.31,22,0.08,0,35,272.1,30,Sweet vernal grass,5.2,90,80,27,7,50,9,4.2,4.5,0.31,1.18,0.7,0.5,5,9.2,0.54,11
21-3E,Laois,Control,13,Laois_site13_control,Semi-natural,High,52.9432,-7.40556,896.21,106.99,33.83,330.4,0.23,0.03,0.02,75.52,0.61,0.43,48.78,NA,NA,NA,6.62,0.64,0.37,NA,NA,NA,NA,254.3,30,Sweet vernal grass,5,170,160,50,19,110,7,6,1.8,0.54,1.02,0.4,0.5,11.7,21.9,0.53,26
22-3F,Laois,Drought,13,Laois_site13_drought,Semi-natural,High,52.9432,-7.40556,896.21,106.99,33.83,330.4,0.22,0,0,76.12,0.33,0.23,41.6,NA,NA,NA,6.19,0.67,0.39,NA,NA,NA,NA,319.1,30,Sweet vernal grass,4.9,130,120,40,14,80,5,4,1.4,0.39,1.04,0.4,0.5,9.9,19.1,0.52,28
23-3G,Laois,Control,14,Laois_site14_control,Semi-natural,Low,52.94299,-7.40575,896.21,106.99,33.83,330.4,0.44,0.02,0.01,46.52,0.32,0.22,62.22,NA,NA,NA,11.8,0.5,0.29,NA,NA,NA,NA,218.9,30,Sweet vernal grass,5.1,70,70,24,6,43,5,3.8,1.5,0.23,1.11,0.7,0.6,4.22,7.6,0.56,13
24-3H,Laois,Drought,14,Laois_site14_drought,Semi-natural,Low,52.94299,-7.40575,896.21,106.99,33.83,330.4,0.54,0.13,0.09,42.84,1.11,0.78,50.35,NA,NA,NA,9.78,0.03,0.02,NA,NA,NA,NA,294.6,30,Sweet vernal grass,5.2,90,80,23,6,60,6,3.6,2.1,0.25,1,0.5,0.4,4.14,7.6,0.54,14
25-4A,Longford,Control,15,Burke_site15_control,Semi-Improved,High,53.73563,-7.95051,1119.89,140.1,44.3,415.3,0.44,0,0,56.36,4.64,3.28,104.86,NA,NA,NA,9.65,0.17,0.1,NA,NA,NA,NA,267.8,30,Creeping bentgrass,5.9,130,120,40,13,80,9,7,1.5,1.31,1.11,0.6,0.5,15,27.5,0.55,20
26-4B,Longford,Drought,15,Burke_site15_drought,Semi-Improved,High,53.73563,-7.95051,1119.89,140.1,44.3,415.3,0.45,0,0,48.36,2.3,1.63,71.09,NA,NA,NA,12.17,0.76,0.44,NA,NA,NA,NA,273.9,30,Creeping bentgrass,5.9,110,100,32,10,70,7,6,1.3,0.61,1.07,0.7,0.5,11.4,22.9,0.5,19
27-4C,Longford,Control,16,Burke_site16_control,Semi-Improved,High,53.73528,-7.95252,1119.89,140.1,44.3,415.3,0.53,0.02,0.01,54.77,4.28,3.02,60.23,NA,NA,NA,12.17,1.27,0.73,NA,NA,NA,NA,342.5,30,Creeping bentgrass,5,110,110,31,10,80,4.7,3.9,0.7,0.33,0.94,0.4,0.4,21.5,44,0.49,13
28-4D,Longford,Drought,16,Burke_site16_drought,Semi-Improved,High,53.73528,-7.95252,1119.89,140.1,44.3,415.3,0.57,0.01,0.01,42.78,9.74,6.89,54.43,NA,NA,NA,10.73,0.25,0.15,NA,NA,NA,NA,333.1,30,Creeping bentgrass,5.2,90,90,24,9,70,3.9,3.2,0.6,0.2,0.9,0.4,0.3,21,42.5,0.49,11
29-4E,Westmeath,Control,17,Cunniffe_site17_control,Semi-natural,High,53.4046,-7.93621,938.47,119.57,37.81,420.8,0.32,0.01,0.01,69.4,0.62,0.44,47.08,NA,NA,NA,10.04,0.23,0.13,NA,NA,NA,NA,224.7,17,Creeping bentgrass,6.5,110,110,32,14,70,7,6,1.2,0.45,1.08,0.6,0.5,29.3,56.6,0.52,6
3-1C,Lyons,Control,2,Lyons_site2_control,Improved,Low,53.29236,-6.53623,811.57,111.49,35.26,360.6,0.67,0.01,0.01,29.32,0.31,0.22,37.23,15.93,4.37,0.98,6.66,0.29,0.17,31,0.13,0,34,290.3,8,Perennial ryegrass,4.7,80,70,24,7,47,4.9,3.9,1,0.34,1.09,0.6,0.5,5.8,10.4,0.56,18
30-4F,Westmeath,Drought,17,Cunniffe_site17_drought,Semi-natural,High,53.4046,-7.93621,938.47,119.57,37.81,420.8,0.31,0,0,66.9,0.96,0.68,28.52,NA,NA,NA,9.83,0.36,0.21,NA,NA,NA,NA,291.6,17,Creeping bentgrass,6.8,110,110,40,16,70,8,7,1.9,0.55,1.16,0.7,0.6,29.7,57.1,0.52,6
31-4G,Westmeath,Control,18,Cunniffe_site18_control,Semi-natural,High,53.40488,-7.93633,938.47,119.57,37.81,420.8,0.36,0.01,0,66.21,0.96,0.68,103.71,NA,NA,NA,9.77,0.14,0.08,NA,NA,NA,NA,322,17,Creeping bentgrass,6.3,17,17,7,2.8,10,1.2,1,0.2,0.07,1.19,0.6,0.7,30.3,59.3,0.51,4
32-4H,Westmeath,Drought,18,Cunniffe_site18_drought,Semi-natural,High,53.40488,-7.93633,938.47,119.57,37.81,420.8,0.38,0,0,64.47,0.43,0.31,73.78,NA,NA,NA,11,0.5,0.29,NA,NA,NA,NA,277.1,17,Creeping bentgrass,6.6,100,100,34,17,70,6,4.7,0.9,0.32,1.06,0.5,0.5,30.5,60.3,0.51,1
33-5A,Waterford,Control,19,Twoney_site19_control,Improved,Low,52.13769,-7.94766,1196.91,168.98,53.44,429.5,0.76,0.03,0.02,35.26,3.07,2.17,79.15,NA,NA,NA,14.17,0.57,0.33,NA,NA,NA,NA,218.5,10,Perennial ryegrass,6.1,35,32,12,3.6,20,2.9,2.4,0.5,0.31,1.18,0.8,0.6,3.48,6.4,0.54,18
34-5B,Waterford,Drought,19,Twoney_site19_drought,Improved,Low,52.13769,-7.94766,1196.91,168.98,53.44,429.5,0.5,0.01,0.01,26.38,4.54,3.21,46.82,NA,NA,NA,7.73,0.12,0.07,NA,NA,NA,NA,258,10,Perennial ryegrass,6.3,60,50,19,5,33,5,3.8,1.7,0.48,1.2,0.9,0.6,3.3,6.6,0.5,16
35-5C,Waterford,Control,20,Twoney_site20_control,Semi-Improved,High,52.143392,-7.94282,1196.91,168.98,53.44,429.5,0.75,0.06,0.04,44.84,0.42,0.29,80.1,NA,NA,NA,8.85,0.45,0.26,NA,NA,NA,NA,331.8,24,Creeping bentgrass,4.5,70,70,24,6,44,2.9,2.4,0.6,0.24,1.03,0.4,0.5,6.1,12,0.51,22
36-5D,Waterford,Drought,20,Twoney_site20_drought,Semi-Improved,High,52.143392,-7.94282,1196.91,168.98,53.44,429.5,0.74,0.05,0.04,44.59,1.14,0.8,60.92,NA,NA,NA,12.87,0.83,0.48,NA,NA,NA,NA,290.2,24,Creeping bentgrass,4.5,70,60,20,5,39,2.5,1.9,0.6,0.24,1.01,0.4,0.5,6.1,11.7,0.52,23
37-6E,Galway,Control,10,Kyne_site10_control,Semi-Improved,High,53.309972,-9.14577,1825.36,172.19,54.45,493,0.79,0.07,0.05,40.4,10.81,7.64,39.27,NA,NA,NA,7.67,0.15,0.09,44,0.11,0,51,356.9,25,Perennial ryegrass,4.5,120,120,37,10,80,4.7,3.5,1.3,0.52,0.99,0.3,0.5,9.4,18,0.52,11
38-5F,Galway,Drought,10,Kyne_site10_drought,Semi-Improved,High,53.309972,-9.14577,1825.36,172.19,54.45,493,0.71,0.13,0.09,42.65,8.37,5.92,35.39,NA,NA,NA,8.08,0.57,0.33,31,0.2,0,50,307.3,25,Perennial ryegrass,4.5,100,90,24,6,70,4.6,3.3,1.3,0.84,0.94,0.4,0.3,8.4,18.8,0.45,11
39-5G,Galway,Control,11,Kyne_site11_control,Improved,High,53.30938,-9.11716,1825.36,172.19,54.45,493,0.32,0.01,0.01,68.68,0.77,0.55,33.79,NA,NA,NA,8.35,0.15,0.09,51,0.08,0,54,263.1,6,Creeping bentgrass,5.8,90,80,18,6,60,4.8,3.6,1.2,0.53,0.93,0.5,0.3,27.5,54.9,0.5,3
4-1D,Lyons,Drought,2,Lyons_site2_drought,Improved,Low,53.29236,-6.53623,811.57,111.49,35.26,360.6,0.56,0.25,0.18,17.17,1.26,0.89,30.56,13.11,5.07,1.11,2.37,0.12,0.07,14,0.02,0,13,241.6,8,Perennial ryegrass,4.9,100,90,26,7,60,7,5,2.2,0.44,1.07,0.6,0.4,6.4,11.6,0.55,18
40-5H,Galway,Drought,11,Kyne_site11_drought,Improved,High,53.30938,-9.11716,1825.36,172.19,54.45,493,0.37,0.05,0.03,60.25,2.32,1.64,78.18,NA,NA,NA,9.47,0.32,0.18,34,0.14,0,47,149.9,6,Creeping bentgrass,5.7,60,60,14,4.1,42,3.2,2.6,0.6,0.4,0.95,0.5,0.3,28.9,56.8,0.51,2
5-1E,Kildare_1,Control,6,Delaney_site6_control,Improved,Low,53.1539,-7.08131,929.35,126.19,39.91,395.9,0.7,0.02,0.01,37.52,1.28,0.9,53.23,19.37,4.65,1.2,10.28,0.67,0.27,29,0.13,0,52,226.6,16,Perennial ryegrass,7.1,41,37,12,3.5,25,3.4,2.8,0.6,0.28,1.12,0.8,0.5,4.51,7.4,0.61,6
6-1F,Kildare_1,Drought,6,Delaney_site6_Drought,Improved,Low,53.15391,-7.08132,929.35,126.19,39.91,395.9,0.77,0.17,0.12,37.19,3.43,2.42,38.06,17.36,4.24,1.18,10.25,0.21,0.08,18,0.1,0,39,161.2,16,Perennial ryegrass,6.9,45,41,13,3.9,28,3.7,3,0.7,0.25,1.1,0.8,0.5,4.49,8,0.56,10
7-1G,Kildare_1,Control,7,Delaney_site7_control,Improved,Low,53.15177,-7.08357,929.35,126.19,39.91,395.9,0.57,0.02,0.01,48.64,3.5,2.48,34.23,19.81,4.63,1.39,9.98,1.17,0.68,32,0.14,0,47,337.3,16,Perennial ryegrass,7.1,90,90,28,9,60,7,6,1.7,0.46,1.11,0.7,0.5,11.2,21.7,0.52,6
9-2A,Kildare_1,Drought,7,Delaney_site7_Drought,Improved,Low,53.15177,-7.08357,929.35,126.19,39.91,395.9,0.58,0,0,33.71,10.64,7.53,25.48,17.96,4.16,0.93,7.06,0.45,0.26,6,0.05,0,5,354.9,16,Perennial ryegrass,6.6,100,90,28,10,60,7,5,2.3,0.37,1.11,0.7,0.5,12.9,26.1,0.49,8
8-1H,Kildare_2,Control,8,Dempsey_site8_control,Semi-natural,High,53.17025,-7.07877,929.35,126.19,39.91,395.9,0.33,0,0,60.68,0.25,0.17,30.14,19.62,4.9,1.41,9.78,0.18,0.1,44,0.11,0,52,256.2,18,Meadow fescue,5.1,100,100,37,8,60,4.7,3.6,1.1,0.23,1.05,0.4,0.6,11.3,26,0.43,21
